equiv_group_id,course_code,relation_type,scope_program_id,notes
LEVEL_CMST4250_CMST5250,CMST 5250,equivalent,,"same title, different level"
LEVEL_CMST4400_CMST5400,CMST 4400,equivalent,,"same title, different level"
LEVEL_CMST4400_CMST5400,CMST 5400,equivalent,,"same title, different level"
LEVEL_CMST4410_CMST5410,CMST 4410,equivalent,,"same title, different level"
LEVEL_CMST4410_CMST5410,CMST 5410,equivalent,,"same title, different level"
LEVEL_CMST4500_CMST5500,CMST 4500,equivalent,,"same title, different level"
LEVEL_CMST4500_CMST5500,CMST 5500,equivalent,,"same title, different level"
LEVEL_COMM4500_COMM5500,COMM 4500,equivalent,,"same title, different level"
LEVEL_COMM4500_COMM5500,COMM 5500,equivalent,,"same title, different level"
LEVEL_COMM4550_COMM4550H,COMM 4550,equivalent,,"same title, different level"
LEVEL_COMM4550_COMM4550H,COMM 4550H,equivalent,,"same title, different level"
LEVEL_COMM4550_COMM4550H,COMM 5550,equivalent,,"same title, different level"
LEVEL_COMM4750_COMM5750,COMM 4750,equivalent,,"same title, different level"
LEVEL_COMM4750_COMM5750,COMM 5750,equivalent,,"same title, different level"
LEVEL_ECON4005_ECON5005,ECON 4005,equivalent,,"same title, different level"
LEVEL_ECON4005_ECON5005,ECON 5005,equivalent,,"same title, different level"
LEVEL_ECON4008_ECON5008,ECON 4008,equivalent,,"same title, different level"
LEVEL_ECON4008_ECON5008,ECON 5008,equivalent,,"same title, different level"
LEVEL_ECON4016_ECON5016,ECON 4016,equivalent,,"same title, different level"
LEVEL_ECON4016_ECON5016,ECON 5016,equivalent,,"same title, different level"
LEVEL_ECON4040_ECON5040,ECON 4040,equivalent,,"same title, different level"
LEVEL_ECON4040_ECON5040,ECON 5040,equivalent,,"same title, different level"
LEVEL_ECON4045_ECON5045,ECON 4045,equivalent,,"same title, different level"
LEVEL_ECON4045_ECON5045,ECON 5045,equivalent,,"same title, different level"
LEVEL_ECON4072_ECON5072,ECON 4072,equivalent,,"same title, different level"
LEVEL_ECON4072_ECON5072,ECON 5072,equivalent,,"same title, different level"
LEVEL_ECON4931_ECON5931,ECON 4931,equivalent,,"same title, different level"
LEVEL_ECON4931_ECON5931,ECON 5931,equivalent,,"same title, different level"
LEVEL_ECON4931_ECON5931,ECON 6931,equivalent,,"same title, different level"
LEVEL_ECON4995_ECON6995,ECON 4995,equivalent,,"same title, different level"
LEVEL_ECON4995_ECON6995,ECON 6995,equivalent,,"same title, different level"
LEVEL_EDUC4000_EDUC5000,EDUC 4000,equivalent,,"same title, different level"
LEVEL_EDUC4000_EDUC5000,EDUC 5000,equivalent,,"same title, different level"
LEVEL_EDUC4100_EDUC5100,EDUC 4100,equivalent,,"same title, different level"
LEVEL_EDUC4100_EDUC5100,EDUC 5100,equivalent,,"same title, different level"
LEVEL_EDUC4200_EDUC5200,EDUC 4200,equivalent,,"same title, different level"
LEVEL_EDUC4200_EDUC5200,EDUC 5200,equivalent,,"same title, different level"
LEVEL_EDUC4540_EDUC5540,EDUC 4540,equivalent,,"same title, different level"
LEVEL_EDUC4540_EDUC5540,EDUC 5540,equivalent,,"same title, different level"
LEVEL_EDUC4600_EDUC5600,EDUC 4600,equivalent,,"same title, different level"
LEVEL_EDUC4600_EDUC5600,EDUC 5600,equivalent,,"same title, different level"
LEVEL_ENGL3110_ENGL5110,ENGL 3110,equivalent,,"same title, different level"
LEVEL_ENGL3110_ENGL5110,ENGL 5110,equivalent,,"same title, different level"
