parent_bucket_id,child_bucket_id,course_code,notes
MARK_PRSL_TRACK,prsl-req-core,MARK 4060,
BCC_CORE,BCC_ANALYTICS,MARK 4065,
BUAN_MAJOR,buan-choose-1,MARK 4065,
MARK_MAJOR,mark-choose-3,MARK 4065,
MARK_MAJOR,mark-choose-3,MARK 4070,
MARK_MAJOR,mark-choose-3,MARK 4075,
MARK_MAJOR,mark-choose-3,MARK 4080,
MARK_MAJOR,mark-choose-3,MARK 4085,
OSCM_MAJOR,oscm-choose-1,MARK 4085,
MARK_MAJOR,mark-choose-3,MARK 4090,
AIM_MAJOR,aim-choose-1,MARK 4094,
AIM_IB_TRACK,aim-pcib-req-core,MARK 4094,
CB_TRACK,commbank-choose-2,MARK 4094,
MARK_MAJOR,mark-choose-3,MARK 4094,
MARK_PRSL_TRACK,prsl-req-core,MARK 4094,
REAL_MAJOR,real-choose-1,MARK 4094,
MARK_MAJOR,mark-choose-3,MARK 4095,
MARK_MAJOR,mark-req-core,MARK 4110,
MARK_PRSL_TRACK,prsl-req-core,MARK 4110,
MARK_MAJOR,mark-choose-3,MARK 4191,
MARK_PRSL_TRACK,prsl-choose-2,MARK 4191,
MARK_MAJOR,mark-choose-3,MARK 4192,
MARK_PRSL_TRACK,prsl-choose-2,MARK 4192,
MARK_MAJOR,mark-choose-3,MARK 4200,
MARK_MAJOR,mark-choose-3,MARK 4931,
INBU_MAJOR,inbu-exp-global-1,MARKI 4931,
INBU_MAJOR,inbu-study-abroad-1,MARKI 4931,
BCC_CORE,BCC_REQUIRED,MATH 1400,
BCC_CORE,BCC_REQUIRED,MATH 1450,
BCC_CORE,BCC_REQUIRED,OSCM 3001,
OSCM_MAJOR,oscm-req-core,OSCM 3001,
OSCM_MAJOR,oscm-choose-1,OSCM 4005,
OSCM_MAJOR,oscm-req-core,OSCM 4010,
OSCM_MAJOR,oscm-choose-1,OSCM 4015,
OSCM_MAJOR,oscm-choose-1,OSCM 4020,
OSCM_MAJOR,oscm-req-core,OSCM 4025,
BCC_CORE,BCC_ETHICS,OSCM 4035,
OSCM_MAJOR,oscm-choose-1,OSCM 4035,
INBU_MAJOR,inbu-functional-choose-3,OSCM 4040,
OSCM_MAJOR,oscm-req-core,OSCM 4040,
INBU_MAJOR,inbu-functional-choose-3,OSCM 4045,
OSCM_MAJOR,oscm-choose-1,OSCM 4045,
AIM_MAJOR,aim-choose-1,OSCM 4060,
BCC_CORE,BCC_ANALYTICS,OSCM 4060,
BUAN_MAJOR,buan-choose-1,OSCM 4060,
OSCM_MAJOR,oscm-choose-1,OSCM 4060,
OSCM_MAJOR,oscm-choose-1,OSCM 4065,
OSCM_MAJOR,oscm-choose-1,OSCM 4080,
OSCM_MAJOR,oscm-choose-1,OSCM 4082,
