id,course_1,course_2,course_3,type,parent_bucket,child_bucket
180,OSCM 4931,OSCM 5931,OSCM 6931,grad,,
181,PHIL 4450,PHIL 6450,,grad,,
182,PHIL 3710,PHIL 6710,,grad,,
183,PHIL 4954,PHIL 5954,,grad,,
184,PHYS 4046,PHYS 5046,,grad,,
185,PHYS 4050,PHYS 5050,,grad,,
186,POSC 2201,POSC 6201,,grad,,
187,POSC 4201,POSC 5201,,grad,,
188,POSC 4221,POSC 5221,,grad,,
189,POSC 4371,POSC 5371,,grad,,
190,POSC 2401,POSC 6401,,grad,,
191,POSC 4406,POSC 5406,,grad,,
192,POSC 4501,POSC 5501,POSC 6501,grad,,
193,POSC 4511,POSC 5511,,grad,,
194,POSC 4521,POSC 5521,POSC 6521,grad,,
195,POSC 4541,POSC 5541,,grad,,
196,POSC 4601,POSC 5601,,grad,,
197,POSC 2601,POSC 2601H,POSC 6601,grad,,
198,POSC 4611,POSC 5611,,grad,,
199,POSC 4621,POSC 5621,,grad,,
200,POSC 4646,POSC 5646,,grad,,
201,POSC 4661,POSC 5661,,grad,,
202,POSC 4731,POSC 5731,POSC 6731,grad,,
203,PSYC 4210,PSYC 5210,,grad,,
204,PSYC 4330,PSYC 5330,,grad,,
205,PSYC 4350,PSYC 5350,,grad,,
206,PSYC 4420,PSYC 5420,,grad,,
207,REAL 4061,REAL 5061,,grad,,
208,REAL 4931,REAL 5931,REAL 6931,grad,,
209,SOWJ 4700,SOWJ 5700,,grad,,
210,SPAN 4110,SPAN 5110,,grad,,
211,SPAN 4120,SPAN 5120,,grad,,
212,SPAN 4130,SPAN 5130,,grad,,
213,SPAN 4140,SPAN 5140,,grad,,
214,SPAN 4150,SPAN 5150,,grad,,
215,SPAN 4320,SPAN 5320,,grad,,
216,SPAN 4450,SPAN 5450,,grad,,
217,THAR 4210,THAR 5210,,grad,,
218,THAR 4220,THAR 5220,,grad,,
219,THAR 4230,THAR 5230,,grad,,
220,THAR 4600,THAR 5600,,grad,,
221,THEO 4000,THEO 5000,,grad,,
222,THEO 4020,THEO 5020,,grad,,
223,THEO 4210,THEO 5210,,grad,,
224,THEO 4250,THEO 5250,,grad,,
225,THEO 4270,THEO 5270,,grad,,
226,THEO 4300,THEO 5300,,grad,,
227,THEO 4310,THEO 5310,,grad,,
228,THEO 4320,THEO 5320,,grad,,
229,THEO 4400,THEO 5400,,grad,,
230,THEO 4405,THEO 5405,,grad,,
231,THEO 4410,THEO 5410,,grad,,
232,THEO 4440,THEO 5440,,grad,,
233,THEO 4450,THEO 5450,,grad,,
234,THEO 4520,THEO 5520,,grad,,
235,THEO 4530,THEO 5530,,grad,,
236,BIEN 4420,MEEN 4570,,cross_listed,,
237,BIEN 4420,MEEN 5570,,cross_listed,,
238,BIEN 4920,COEN 4920,,cross_listed,,
239,BIEN 4920,ELEN 4920,,cross_listed,,
240,BIEN 4920,MEEN 4920,,cross_listed,,
241,BIEN 4998,COEN 4998,,cross_listed,,
242,BIEN 4998,ELEN 4998,,cross_listed,,
243,BIEN 4998,MEEN 4998,,cross_listed,,
244,BISC 4381,POSC 4381,,cross_listed,,
245,BISC 4461,POSC 4461,,cross_listed,,
246,BISC 7461,POSC 4461,,cross_listed,,
247,BISC 8003,NRSC 8003,,cross_listed,,
248,BISC 8004,NRSC 8004,,cross_listed,,
249,BISC 8005,NRSC 8005,,cross_listed,,
250,BISC 8096,NRSC 8096,,cross_listed,,
251,BISC 8931,NRSC 8931,,cross_listed,,
252,EDUC 4540,PHIL 4540,,cross_listed,,
