course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
LAW 7320,,LAW 7002.,,,,,,,,,,,,,
LAW 7321,,LAW 7002.,,,,,,,,,,,,,
LAW 7322,,"LAW 7125, strongly recommended.",,,,,,,,,,,,,
LAW 7323,,LAW 7140.,,,,,,,,,,,,,
LAW 7324,,,,,,,,,,,,,,,
LAW 7326,,"LAW 7004, LAW 7005, LAW 7125, LAW 7205.",,,,,,,,,,,,,
LAW 7327,,,,,,,,,,,,,,,
LAW 7331,,,,,,,,,,,,,,,
LAW 7332,,LAW 7006.,,,,,,,,,,,,,
LAW 7340,,,,,,,,,,,,,,,
LAW 7342,,,,,,,,,,,,,,,
LAW 7401,,,,,,,,,,,,,,,
LAW 7403,,LAW 7001.,,,,,,,,,,,,,
LAW 7406,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7420,,,,,,,,,,,,,,,
LAW 7421,,LAW 7004 and LAW 7005.,,,,,,,,,,,,,
LAW 7422,,,,,,,,,,,,,,,
LAW 7429,,LAW 7001.,,,,,,,,,,,,,
LAW 7435,,"LAW 7232 and LAW 7235, recommended.",,,,,,,,,,,,,
LAW 7437,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7445,,,,,,,,,,,,,,,
LAW 7446,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7454,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7456,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7460,,,,,,,,,,,,,,,
LAW 7461,,,,,,,,,,,,,,,
LAW 7462,,,,,,,,,,,,,,,
LAW 7463,,,,,,,,,,,,,,,
LAW 7464,,,,,,,,,,,,,,,
LAW 7465,,,,,,,,,,,,,,,
LAW 7466,,LAW 7200.,,,,,,,,,,,,,
LAW 7534,,LAW 7003.,,,,,,,,,,,,,
LAW 7567,,LAW 7221.,,,,,,,,,,,,,
LAW 7568,,,,,,,,,,,,,,,
LAW 7569,,,,,,,,,,,,,,,
LAW 7570,,,,,,,,,,,,,,,
LAW 7571,,,,,,,,,,,,,,,
LAW 7572,,,,,,,,,,,,,,,
LAW 7573,,LAW 7205.,,,,,,,,,,,,,
LAW 7581,,LAW 7004 and LAW 7005.,,,,,,,,,,,,,
LAW 7584,,LAW 7007.,,,,,,,,,,,,,
LAW 7588,,,,,,,,,,,,,,,
LAW 7590,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7591,,,,,,,,,,,,,,,
LAW 7592,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7702,,,,,,,,,,,,,,,
LAW 7703,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7705,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7710,,LAW 7139.,,,,,,,,,,,,,
LAW 7712,,LAW 7125.,,,,,,,,,,,,,
LAW 7714,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7715,,,,,,,,,,,,,,,
LAW 7716,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7718,,LAW 7125.,,,,,,,,,,,,,
LAW 7719,,LAW 7125.,,,,,,,,,,,,,
LAW 7720,,,,,,,,,,,,,,,
LAW 7722,,"LAW 7002, LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7723,,,,,,,,,,,,,,,
LAW 7724,,,,,,,,,,,,,,,
LAW 7728,,LAW 7140.,,,,,,,,,,,,,
LAW 7730,,,,,,,,,,,,,,,
LAW 7731,,,,,,,,,,,,,,,
LAW 7740,,LAW 7200.,,,,,,,,,,,,,
LAW 7749,,,,,,,,,,,,,,,
LAW 7750,,,,,,,,,,,,,,,
LAW 7761,,,,,,,,,,,,,,,
LAW 7764,,LAW 7001.,,,,,,,,,,,,,
LAW 7765,,,,,,,,,,,,,,,
LAW 7766,,"LAW 7004, LAW 7005 and LAW 7125.",,,,,,,,,,,,,
LAW 7770,,,,,,,,,,,,,,,
LAW 7771,,,,,,,,,,,,,,,
LAW 7772,,,,,,,,,,,,,,,
LAW 7780,,,,,,,,,,,,,,,
LAW 7782,,,,,,,,,,,,,,,
LAW 7785,,,,,,,,,,,,,,,
LAW 7786,,,,,,,,,,,,,,,
LAW 7787,,LAW 7303.,,,,,,,,,,,,,
LAW 7790,,,,,,,,,,,,,,,
LAW 7791,,,,,,,,,,,,,,,
LAW 7798,,,,,,,,,,,,,,,
LAW 7799,may_be_concurrent,"LAW 7004; LAW 7005; LAW 7125, which may be taken concurrently; LAW 7321; and LAW 7139, recommended.",,,,,,,,,,"LAW 7125, which may be taken concurrently",,,"LAW 7004; LAW 7005; LAW 7125, which may be taken concurrently; LAW 7321; and LAW 7139, recommended."
LAW 7800,,,,,,,,,,,,,,,
LAW 7801,,,,,,,,,,,,,,,
LAW 7805,,,,,,,,,,,,,,,
LAW 7810,,LAW 7232 recommended.,,,,,,,,,,,,,
LAW 7811,,"LAW 7000; LAW 7191, recommended.",,,,,,,,,,,,,
LAW 7814,,,,,,,,,,,,,,,
LAW 7815,,,,,,,,,,,,,,,
LAW 7820,,,,,,,,,,,,,,,
LAW 7822,,,,,,,,,,,,,,,
LAW 7823,,"LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7830,,,,,,,,,,,,,,,
LAW 7831,,,,,,,,,,,,,,,
LAW 7841,,,,,,,,,,,,,,,
LAW 7842,,,,,,,,,,,,,,,
LAW 7843,,,,,,,,,,,,,,,
LAW 7844,other_requirements,None.,,,,,,,,,,,None,,
LAW 7847,,"LAW 7002, LAW 7004, LAW 7005.",,,,,,,,,,,,,
LAW 7849,,LAW 7232.,,,,,,,,,,,,,
LAW 7851,,LAW 7191.,,,,,,,,,,,,,
LAW 7852,,LAW 7851.,,,,,,,,,,,,,
LAW 7853,,,,,,,,,,,,,,,
LAW 7925,,,,,,,,,,,,,,,
LAW 7931,,,,,,,,,,,,,,,
LAW 7950,,,,,,,,,,,,,,,
LAW 7955,,,,,,,,,,,,,,,
LAW 7960,,,,,,,,,,,,,,,
LAW 7970,,,,,,,,,,,,,,,
LAW 7975,,,,,,,,,,,,,,,
LAW 7976,,,,,,,,,,,,,,,
LAW 7978,,,,,,,,,,,,,,,
LAW 7980,,,,,,,,,,,,,,,
LAW 7981,,,,,,,,,,,,,,,
LAW 7982,,,,,,,,,,,,,,,
LAW 7983,,,,,,,,,,,,,,,
LAW 7984,,,,,,,,,,,,,,,
LAW 7987,,,,,,,,,,,,,,,
LAW 7995,instructor_consent,"Cons. of instr., cons. of Associate Dean. Consent required.",,"Cons. of instr., cons. of Associate Dean; Consent required",,,,,,,,,,,"Cons. of instr., cons. of Associate Dean. Consent required."
LAW 7997,,,,,,,,,,,,,,,
LEAD 1050,college_restriction,Enrolled in the College of Business Administration.,,,,Enrolled in the College of Business Administration,,,,,,,,,Enrolled in the College of Business Administration.
LEAD 2000,standing_requirement;may_be_concurrent,"Enrolled in Business Administration, Soph. stndg. and LEAD 1050 or exemption; BUAD 1001, which may be taken concurrently.",,,,,,"Enrolled in Business Administration, Soph. stndg. and LEAD 1050 or exemption",,,,"BUAD 1001, which may be taken concurrently",,,"Enrolled in Business Administration, Soph. stndg. and LEAD 1050 or exemption; BUAD 1001, which may be taken concurrently."
LEAD 3000,college_restriction;standing_requirement,Enrolled in the College of Business Administration; Jr. stndg.; LEAD 2000.,,,,Enrolled in the College of Business Administration,,Jr. stndg,,,,,,,Enrolled in the College of Business Administration; Jr. stndg.; LEAD 2000.
LEDR 6051,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR or MGMT program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR or MGMT program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR or MGMT program; or cons. of M.B.A. prog. dir."
LEDR 6101,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR or SPLE program; or consent of M.B.A. prog. dir.",,or consent of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR or SPLE program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR or SPLE program; or consent of M.B.A. prog. dir."
LEDR 6115,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR, MGMT, PUBS or SPLE program; or consent of M.B.A. prog. dir.",,or consent of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR, MGMT, PUBS or SPLE program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, LEDR, MGMT, PUBS or SPLE program; or consent of M.B.A. prog. dir."
LEDR 6215,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or LEDR program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or LEDR program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or LEDR program; or cons. of M.B.A. prog. dir."
LEDR 6931,admitted_program;instructor_consent;other_requirements,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or MGMT program; or cons. of M.B.A. prog. dir. Prerequisites may vary depending on topic. Consent required.",,or cons. of M.B.A. prog. dir; Consent required,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or MGMT program",,,,,,,,Prerequisites may vary depending on topic,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or MGMT program; or cons. of M.B.A. prog. dir. Prerequisites may vary depending on topic. Consent required."
LEDR 6995,admitted_program;instructor_consent,Admitted to a graduate business program and cons. of M.B.A. or MGMT prog. dir. Consent required.,,Admitted to a graduate business program and cons. of M.B.A. or MGMT prog. dir; Consent required,Admitted to a graduate business program and cons. of M.B.A. or MGMT prog. dir,,,,,,,,,,Admitted to a graduate business program and cons. of M.B.A. or MGMT prog. dir. Consent required.
LLAC 1001,,,,,,,,,,,,,,,
LLAC 1010,,,,,,,,,,,,,,,
LLAC 1020,,,,,,,,,,,,,,,
LLAC 2210,,,,,,,,,,,,,,,
LLAC 2230,,,,,,,,,,,,,,,
LLAC 2240,,,,,,,,,,,,,,,
LLAC 3000,other_requirements,2002 language course or higher.,,,,,,,,,,,2002 language course or higher,,
LLAC 3200,,,,,,,,,,,,,,,
LLAC 3210,,,,,,,,,,,,,,,
LLAC 3220,,,,,,,,,,,,,,,
LLAC 3250,,,,,,,,,,,,,,,
LLAC 4000,instructor_consent;standing_requirement,"Sr. stndg. and intermediate high performance on an official Oral Proficiency Interview (OPI), and on an official writing proficiency test (WPT) in Spanish; or cons. of dept. ch.",,or cons. of dept. ch,,,,"Sr. stndg. and intermediate high performance on an official Oral Proficiency Interview (OPI), and on an official writing proficiency test (WPT) in Spanish",,,,,,,"Sr. stndg. and intermediate high performance on an official Oral Proficiency Interview (OPI), and on an official writing proficiency test (WPT) in Spanish; or cons. of dept. ch."
LLAC 4290,,,,,,,,,,,,,,,
LLAC 4931,,,,,,,,,,,,,,,
LLAC 4960,instructor_consent;standing_requirement,Sr. stndg. or cons. of dept. ch. Consent required.,,Sr. stndg. or cons. of dept. ch; Consent required,,,,Sr. stndg. or cons. of dept. ch,,,,,,,Sr. stndg. or cons. of dept. ch. Consent required.
LLAC 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
LLAC 5000,instructor_consent,Consult with director of graduate studies in Spanish and meet with course instructor; or cons. of dept. ch.,,Consult with director of graduate studies in Spanish and meet with course instructor; or cons. of dept. ch,,,,,,,,,,,Consult with director of graduate studies in Spanish and meet with course instructor; or cons. of dept. ch.
LLAC 6995,,,,,,,,,,,,,,,
MANA 3001,standing_requirement,Soph. stndg.,,,,,,Soph. stndg,,,,,,,Soph. stndg.
MANA 3002,standing_requirement,Jr. stndg.,,,,,,Jr. stndg,,,,,,,Jr. stndg.
MANA 3020,college_restriction;other_requirements,Enrolled in the College of Business Administration; or Sports Management Minor; Sports Communication Major or Sports Communication Minor.,,,,Enrolled in the College of Business Administration,,,,,,,or Sports Management Minor; Sports Communication Major or Sports Communication Minor,,Enrolled in the College of Business Administration; or Sports Management Minor; Sports Communication Major or Sports Communication Minor.
MANA 3034,standing_requirement,Jr. stndg.,,,,,,Jr. stndg,,,,,,,Jr. stndg.
MANA 3035,standing_requirement,Jr. stndg.,,,,,,Jr. stndg,,,,,,,Jr. stndg.
MANA 4010,,MANA 3001.,,,,,,,,,,,,,
MANA 4040,standing_requirement,Jr. stndg.,,,,,,Jr. stndg,,,,,,,Jr. stndg.
MANA 4045,other_requirements,Jr. stdng.,,,,,,,,,,,Jr. stdng,,
MANA 4100,instructor_consent;standing_requirement,Jr. stndg. or dept. cons.,,Jr. stndg. or dept. cons,,,,Jr. stndg. or dept. cons,,,,,,,Jr. stndg. or dept. cons.
MANA 4101,standing_requirement,"Sr stndg. and FINA 3001; INSY 3001 or ACCO 4050; MANA 3001, MARK 3001 and OSCM 3001.",,,,,,Sr stndg. and FINA 3001,,,,,,,"Sr stndg. and FINA 3001; INSY 3001 or ACCO 4050; MANA 3001, MARK 3001 and OSCM 3001."
MANA 4931,standing_requirement,Jr. stndg.,,,,,,Jr. stndg,,,,,,,Jr. stndg.
MANA 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
MANA 5100,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, ECON, MANA, CCOM, or SPLE program; or con. of M.B.A. prog. dir.",,or con. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, ECON, MANA, CCOM, or SPLE program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, ECON, MANA, CCOM, or SPLE program; or con. of M.B.A. prog. dir."
MANA 5931,admitted_program;instructor_consent;other_requirements,"Admitted to the graduate ACCO, BUAD, ECON, HCTM, MGMT or NURS program; or cons. of M.B.A. prog. dir. Other prerequisites vary depending on topic.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, ECON, HCTM, MGMT or NURS program",,,,,,,,Other prerequisites vary depending on topic,,"Admitted to the graduate ACCO, BUAD, ECON, HCTM, MGMT or NURS program; or cons. of M.B.A. prog. dir. Other prerequisites vary depending on topic."
MANA 6110,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT, NURS or SPLE program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT, NURS or SPLE program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT, NURS or SPLE program; or cons. of M.B.A. prog. dir."
MANA 6115,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program; or cons. of M.B.A. prog. dir."
MANA 6120,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or MGMT program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or MGMT program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON or MGMT program; or cons. of M.B.A. prog. dir."
MANA 6125,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, LEDR, MGMT, NURS or SPLE program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, LEDR, MGMT, NURS or SPLE program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, LEDR, MGMT, NURS or SPLE program; or cons. of M.B.A. prog. dir."
MANA 6140,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program",,,,,,,,,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program; or cons. of M.B.A. prog. dir."
MANA 6931,admitted_program;instructor_consent;other_requirements,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program; or cons. of M.B.A. prog. dir. Prerequisites vary depending on topic.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program",,,,,,,,Prerequisites vary depending on topic,,"Admitted to the graduate ACCO, BUAD, CCOM, ECON, MGMT or NURS program; or cons. of M.B.A. prog. dir. Prerequisites vary depending on topic."
MANA 6995,admitted_program;instructor_consent,Admitted to a graduate business program; and cons. of MGMT or M.B.A. prog. dir.,,and cons. of MGMT or M.B.A. prog. dir,Admitted to a graduate business program,,,,,,,,,,Admitted to a graduate business program; and cons. of MGMT or M.B.A. prog. dir.
MANA 6997,admitted_program,Admitted to graduate MGMT program.,,,Admitted to graduate MGMT program,,,,,,,,,,Admitted to graduate MGMT program.
MARK 3001,standing_requirement,Soph. stndg.; ECON 1001 or ECON 1103.,,,,,,Soph. stndg,,,,,,,Soph. stndg.; ECON 1001 or ECON 1103.
MARK 3986,instructor_consent,"MARK 3001, cons. of prog. dir. and cons. of Business Career Center. Consent required.",,"MARK 3001, cons. of prog. dir. and cons. of Business Career Center; Consent required",,,,,,,,,,,"MARK 3001, cons. of prog. dir. and cons. of Business Career Center. Consent required."
MARK 4005,major_restriction,"MARK 3001; MARK major or minor, or Sports Management minor, or Sports Communication major or minor.","MARK major or minor, or Sports Management minor, or Sports Communication major or minor",,,,,,,,,,,,"MARK 3001; MARK major or minor, or Sports Management minor, or Sports Communication major or minor."
MARK 4010,,MARK 3001.,,,,,,,,,,,,,
MARK 4020,,MARK 3001.,,,,,,,,,,,,,
MARK 4030,,MARK 3001.,,,,,,,,,,,,,
MARK 4040,,MARK 3001.,,,,,,,,,,,,,
MARK 4050,,MARK 3001.,,,,,,,,,,,,,
MARK 4060,other_requirements,"MARK 3001 and BUAD 1560. Marketing and Professional Selling minors may substitute COMM 1700, MATH 1700, SOCI 2060 or SOCI 2060H for BUAD 1560.",,,,,,,,,,,"Marketing and Professional Selling minors may substitute COMM 1700, MATH 1700, SOCI 2060 or SOCI 2060H for BUAD 1560.",,"MARK 3001 and BUAD 1560. Marketing and Professional Selling minors may substitute COMM 1700, MATH 1700, SOCI 2060 or SOCI 2060H for BUAD 1560."
MARK 4065,,"MARK 3001 and BUAD 1560 (or COMM 1700, MATH 1700, MATH 4720 or SOCI 2060 for non-business students).",,,,,,,,,,,,,
MARK 4070,,MARK 3001.,,,,,,,,,,,,,
MARK 4075,,MARK 3001.,,,,,,,,,,,,,
MARK 4080,,MARK 3001.,,,,,,,,,,,,,
MARK 4085,,MARK 3001.,,,,,,,,,,,,,
MARK 4090,instructor_consent,Consent required. Consent required.,,Consent required,,,,,,,,,,,Consent required. Consent required.
MARK 4094,,MARK 3001.,,,,,,,,,,,,,
MARK 4095,,MARK 3001.,,,,,,,,,,,,,
MARK 4110,standing_requirement,"Sr. stndg., MARK 3001, MARK 4060, and one other MARK course.",,,,,,"Sr. stndg., MARK 3001, MARK 4060, and one other MARK course",,,,,,,"Sr. stndg., MARK 3001, MARK 4060, and one other MARK course."
MARK 4191,,MARK 4094.,,,,,,,,,,,,,
MARK 4192,,MARK 4094.,,,,,,,,,,,,,
MARK 4200,,"MARK 3001, and one of the following: BUAD 1560, MATH 1700 or MATH 4720.",,,,,,,,,,,,,
MARK 4931,,MARK 3001.,,,,,,,,,,,,,
MARK 4986,instructor_consent,MARK 3986; cons. of prog. dir. and cons. of Business Career Center. Consent required.,,cons. of prog. dir. and cons. of Business Career Center; Consent required,,,,,,,,,,,MARK 3986; cons. of prog. dir. and cons. of Business Career Center. Consent required.
MARK 4989,instructor_consent,"MARK 3001, cons. of prog. dir. and cons. of Business Career Center. Consent required.",,"MARK 3001, cons. of prog. dir. and cons. of Business Career Center; Consent required",,,,,,,,,,,"MARK 3001, cons. of prog. dir. and cons. of Business Career Center. Consent required."
MARK 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
MARK 5065,admitted_program;instructor_consent,"Admitted to the graduate ACCO or ECON, program; or BUAD and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO or ECON, program",,,,,,,,,,"Admitted to the graduate ACCO or ECON, program; or BUAD and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir."
MARK 5931,admitted_program;instructor_consent,"Admitted to graduate ACCO, BUAD, or ECON program and MBA 6080; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to graduate ACCO, BUAD, or ECON program and MBA 6080",,,,,,,,,,"Admitted to graduate ACCO, BUAD, or ECON program and MBA 6080; or cons. of M.B.A. prog. dir."
MARK 6085,admitted_program;instructor_consent,Admitted to the graduate BUAD program and MBA 6080; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate BUAD program and MBA 6080,,,,,,,,,,Admitted to the graduate BUAD program and MBA 6080; or cons. of M.B.A. prog. dir.
MARK 6110,admitted_program;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate ACCO or ECON program,,,,,,,,,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6120,admitted_program;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate ACCO or ECON program,,,,,,,,,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6125,admitted_program;instructor_consent;complex_hard_prereq,Admitted to graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to graduate ACCO or ECON program,,,,,,,,,Admitted to graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6130,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BMAN or ECON program; graduate BUAD program and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BMAN or ECON program",,,,,,,,,,"Admitted to the graduate ACCO, BMAN or ECON program; graduate BUAD program and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir."
MARK 6136,admitted_program;instructor_consent;complex_hard_prereq,Admitted to graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to graduate ACCO or ECON program,,,,,,,,,Admitted to graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6140,admitted_program;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate ACCO or ECON program,,,,,,,,,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6160,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BMAN or ECON program; or graduate BUAD program and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BMAN or ECON program",,,,,,,,,,"Admitted to the graduate ACCO, BMAN or ECON program; or graduate BUAD program and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir."
MARK 6165,admitted_program;instructor_consent,"Admitted to the graduate ACCO, BMAN or ECON program; or graduate BUAD program and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,"Admitted to the graduate ACCO, BMAN or ECON program",,,,,,,,,,"Admitted to the graduate ACCO, BMAN or ECON program; or graduate BUAD program and MBA 6010 and MBA 6080; or cons. of M.B.A. prog. dir."
MARK 6170,admitted_program;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate ACCO or ECON program,,,,,,,,,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6175,admitted_program;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate ACCO or ECON program,,,,,,,,,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
MARK 6185,admitted_program;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,,or cons. of M.B.A. prog. dir,Admitted to the graduate ACCO or ECON program,,,,,,,,,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.,Admitted to the graduate ACCO or ECON program; or graduate BUAD program and MBA 6080; or graduate CCOM program and BUAD 6005; or cons. of M.B.A. prog. dir.
