course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
ADPR 4961,major_restriction,ADPR majors and minors.,ADPR majors and minors,,,,,,,,,,,,ADPR majors and minors.
ADPR 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
ADPR 4997,major_restriction;complex_hard_prereq,"ADVE major and ADVE 1400, ADVE 3000, ADVE 3400 and ADVE 4100; or PURE major and PURE 1800, PURE 3600, PURE 3800;.","ADVE major and ADVE 1400, ADVE 3000, ADVE 3400 and ADVE 4100; or PURE major and PURE 1800, PURE 3600, PURE 3800",,,,,,,,,,,"ADVE major and ADVE 1400, ADVE 3000, ADVE 3400 and ADVE 4100; or PURE major and PURE 1800, PURE 3600, PURE 3800;.","ADVE major and ADVE 1400, ADVE 3000, ADVE 3400 and ADVE 4100; or PURE major and PURE 1800, PURE 3600, PURE 3800;."
ADPR 4999,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
ADPR 5300,,,,,,,,,,,,,,,
ADPR 5350,,,,,,,,,,,,,,,
ADPR 5500,,,,,,,,,,,,,,,
ADPR 5600,,,,,,,,,,,,,,,
ADPR 5850,,,,,,,,,,,,,,,
ADPR 5953,,,,,,,,,,,,,,,
ADVE 1400,,,,,,,,,,,,,,,
ADVE 3000,major_restriction,COMM 2500 or MARK 4060; ADVE 1400 or PURE 1800; ADVE or PURE majors or minors.,ADVE or PURE majors or minors,,,,,,,,,,,,COMM 2500 or MARK 4060; ADVE 1400 or PURE 1800; ADVE or PURE majors or minors.
ADVE 3400,major_restriction,ADVE 1400 or PURE 1800; ADPR 2200; declared ADVE or PURE majors and minors.,declared ADVE or PURE majors and minors,,,,,,,,,,,,ADVE 1400 or PURE 1800; ADPR 2200; declared ADVE or PURE majors and minors.
ADVE 3986,instructor_consent;complex_hard_prereq,ADPR 2200 and ADVE 1400 and cons. of dept. ch.; or ADVE 1400 and JOUR 1100 and cons. of dept. ch.,,ADPR 2200 and ADVE 1400 and cons. of dept. ch; or ADVE 1400 and JOUR 1100 and cons. of dept. ch,,,,,,,,,,ADPR 2200 and ADVE 1400 and cons. of dept. ch.; or ADVE 1400 and JOUR 1100 and cons. of dept. ch.,ADPR 2200 and ADVE 1400 and cons. of dept. ch.; or ADVE 1400 and JOUR 1100 and cons. of dept. ch.
ADVE 4100,major_restriction;instructor_consent,COMM 2500 or MARK 4060; ADVE 1400 or PURE 1800; ADVE or PURE major or minor; or cons. of inst.,ADVE or PURE major or minor,or cons. of inst,,,,,,,,,,,COMM 2500 or MARK 4060; ADVE 1400 or PURE 1800; ADVE or PURE major or minor; or cons. of inst.
ADVE 4400,major_restriction;instructor_consent,ADVE 3400; or cons. of instr. Restricted to declared ADVE or PURE majors or minors.,Restricted to declared ADVE or PURE majors or minors,or cons. of instr,,,,,,,,,,,ADVE 3400; or cons. of instr. Restricted to declared ADVE or PURE majors or minors.
ADVE 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
ADVE 4997,major_restriction,"ADVE 1400, ADVE 3000, ADVE 3400, and ADVE 4100; ADVE major.",ADVE major,,,,,,,,,,,,"ADVE 1400, ADVE 3000, ADVE 3400, and ADVE 4100; ADVE major."
ADVE 5100,,,,,,,,,,,,,,,
AFAS 1011,,,,,,,,,,,,,,,
AFAS 1012,,,,,,,,,,,,,,,
AFAS 1051,,,,,,,,,,,,,,,
AFAS 2021,,,,,,,,,,,,,,,
AFAS 2022,,,,,,,,,,,,,,,
AFAS 2964,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
AFAS 3131,,,,,,,,,,,,,,,
AFAS 3132,,,,,,,,,,,,,,,
AFAS 4141,,,,,,,,,,,,,,,
AFAS 4142,,,,,,,,,,,,,,,
AFAS 4995,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
AIM 3986,major_restriction;instructor_consent,AIM major; cons. of prog. dir. and cons. of Business Career Center. Consent required,AIM major,cons. of prog. dir. and cons. of Business Career Center; Consent required,,,,,,,,,,,AIM major; cons. of prog. dir. and cons. of Business Career Center. Consent required
AIM 4310,major_restriction;instructor_consent;may_be_concurrent,"ACCO 4080 may be taken concurrently; AIM major, or cons. of instr.","AIM major, or cons. of instr","AIM major, or cons. of instr",,,,,,,,ACCO 4080 may be taken concurrently,,,"ACCO 4080 may be taken concurrently; AIM major, or cons. of instr."
AIM 4320,instructor_consent,AIM 4310 or cons. of instr.,,AIM 4310 or cons. of instr,,,,,,,,,,,AIM 4310 or cons. of instr.
AIM 4330,instructor_consent,AIM 4320 or cons. of instr.,,AIM 4320 or cons. of instr,,,,,,,,,,,AIM 4320 or cons. of instr.
AIM 4400,standing_requirement,Soph. stndg.,,,,,,Soph. stndg,,,,,,,Soph. stndg.
AIM 4410,major_restriction;instructor_consent;may_be_concurrent,FINA 4075 or FINA 5075 may be taken concurrently; AIM major; or cons. of instr.,AIM major,or cons. of instr,,,,,,,,FINA 4075 or FINA 5075 may be taken concurrently,,,FINA 4075 or FINA 5075 may be taken concurrently; AIM major; or cons. of instr.
AIM 4420,major_restriction;instructor_consent,AIM major; or cons. of instr.,AIM major,or cons. of instr,,,,,,,,,,,AIM major; or cons. of instr.
AIM 4430,major_restriction;instructor_consent,AIM major; or cons. of instr.,AIM major,or cons. of instr,,,,,,,,,,,AIM major; or cons. of instr.
AIM 4440,major_restriction;instructor_consent,"AIM 4400, AIM major, or cons. of instr.","AIM 4400, AIM major, or cons. of instr","AIM 4400, AIM major, or cons. of instr",,,,,,,,,,,"AIM 4400, AIM major, or cons. of instr."
AIM 4470,major_restriction;instructor_consent,AIM major or cons. of instr.,AIM major or cons. of instr,AIM major or cons. of instr,,,,,,,,,,,AIM major or cons. of instr.
AIM 4931,major_restriction,AIM major.,AIM major,,,,,,,,,,,,AIM major.
