course_code,course_name,credits,level,active,notes,elective_pool_tag,description
INGS 1001,Introduction to Gender and Sexualities Studies,3,1000,True,,,
INPS 2010,Introduction to Peace Studies,3,2000,True,,,
LLAC 1020,"Cultural Capital: The Link between Language, Art and Political Change",3,1000,True,,,
SOCI 1001,Principles of Sociology,3,1000,True,,,
SOCI 1101,Advocacy for a Just World,3,1000,True,,,
SOWJ 1001,Introduction to Social Welfare and Justice,3,1000,True,,,
SOWJ 1101,Advocacy for a Just World,3,1000,True,,,
SPAN 3300,Peoples and Cultures of Spain,3,3000,True,,,
SPAN 3310,Peoples and Cultures of Latin America,3,3000,True,,,
THAR 2020,Theatre Appreciation,3,2000,True,,,
CORE 4929,The Service of Faith and Promotion of Justice,3,4000,True,,,
ENTP 3080,Funding Strategies for Entrepreneurs,3,3000,True,,biz_elective,
ADPR 4600,International Advertising and Public Relations,3,4000,True,,,
ANTH 4316,Culture Change and Development,3,4000,True,,,
ARBC 3200,Culture and Civilization of the Middle East,3,3000,True,,,
CHNS 3200,Chinese Culture and Civilization,3,3000,True,,,
CHNS 3700,Chinese Business Culture,3,3000,True,,,
CNEN 3810,Introduction to Construction Management,3,3000,True,,,
ECON 3003,Intermediate Microeconomic Analysis,3,3000,True,,biz_elective,
ECON 3042,Applied Global Business Learning,3,3000,True,Marquette Core Curriculum: SSC Crossing Boundaries,biz_elective,
ECON 4012,Urban and Regional Economics,3,4000,True,,biz_elective,
ECON 4047,Development Economics,3,4000,True,Marquette Core Curriculum: SSC Basic Needs & Justice,biz_elective,
ECONI 3040,Global Applied Learning Project: Applied Global Business Learning,3,3000,True,Marquette Core Curriculum: Engage Social Systms & Values 2,biz_elective,
ENTP 4041,International Entrepreneurial Sustainability,3,4000,True,,biz_elective,
HIST 3235,Twentieth Century Europe,3,3000,True,,,
HIST 3455,Middle East,3,3000,True,,,
HIST 4252,Modern Britain,3,4000,True,,,
HIST 4260,Modern Ireland: From the Rising to the Revolution,3,4000,True,,,
HIST 4262,Modern France,3,4000,True,,,
HIST 4264,Historical Justice in Modern Germany,3,4000,True,,,
HIST 4310,Colonial Latin America,3,4000,True,,,
HIST 4350,The Caribbean,3,4000,True,,,
HIST 4500,Modern Japan,3,4000,True,,,
HIST 4555,Modern China,3,4000,True,,,
INBU 4931,Topics in International Business,3,4000,True,,biz_elective,
INBU 4953,Seminar in International Business,3,4000,True,,biz_elective,
INBU 4986,International Business Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
INBU 4989,International Business Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ITAL 3200,Italian Culture and Civilization,3,3000,True,,,
MANA 4040,International Management,3,4000,True,,biz_elective,
MANA 4045,"Globalization: Issues, Opportunities and Challenges",3,4000,True,,biz_elective,
MARK 4005,Sports and Entertainment Marketing,3,4000,True,,biz_elective,
MARK 4010,Consumer Behavior,3,4000,True,"Marquette Core Curriculum: SSC Cgntn, Lang, Mmry/Intlgnc",biz_elective,
MARK 4020,Integrated Marketing Communications,3,4000,True,,biz_elective,
MARK 4030,Customer Relationship Management,3,4000,True,,biz_elective,
MARK 4050,Digital Marketing,3,4000,True,Marquette Core Curriculum: SSC Expanding Our Horizons,biz_elective,
MARK 4070,Marketing and Society,3,4000,True,,biz_elective,
MARK 4075,Strategic Brand Management,3,4000,True,,biz_elective,
MARK 4080,Product and Pricing Strategy,3,4000,True,,biz_elective,
MARK 4090,Applied Marketing Consulting,3,4000,True,,biz_elective,
MARK 4095,Retail Marketing,3,4000,True,,biz_elective,
MARK 4110,Marketing Management,3,4000,True,,biz_elective,
MARK 4191,Advanced Selling,3,4000,True,,biz_elective,
MARK 4192,Consultative Sales Leadership,3,4000,True,,biz_elective,
MARK 4200,Measuring Marketing Outcomes,3,4000,True,,biz_elective,
MARK 4931,Topics in Marketing,3,4000,True,,biz_elective,
MARKI 4931,Topics in Marketing-International,3,4000,True,,biz_elective,
POSC 4406,Comparative Public Policy,3,4000,True,,,
POSC 4501,European Politics,3,4000,True,,,
POSC 4511,Russian and Post-Soviet Politics,3,4000,True,,,
POSC 4521,Chinese Politics,3,4000,True,,,
POSC 4541,Latin American Politics,3,4000,True,,,
POSC 4601,International Law,3,4000,True,,,
POSC 4611,International Organizations,3,4000,True,,,
POSC 4621,Politics of the World Economy,3,4000,True,,,
POSC 4661,The Political Economy of Development,3,4000,True,,,
POSC 4731,International Politics of Asia,3,4000,True,,,
REAL 4120,Cases in Commercial Real Estate,3,4000,True,,biz_elective,
REAL 4220,Real Estate Asset Program - Applied Investment Cases,3,4000,True,,biz_elective,
REAL 4230,Real Estate Asset Program - Advanced Real Estate Investing,3,4000,True,,biz_elective,
REAL 4330,Advanced Real Estate Analysis,3,4000,True,,biz_elective,
REAL 4931,Topics in Real Estate,3,4000,True,,biz_elective,
REAL 4986,Real Estate Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
REAL 4989,Real Estate Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
SPAN 4320,Latin American and Latinx Contemporary Issues,3,4000,True,,,
SPAN 4450,Afro-Hispanic and Afro-Latinx Literatures and Cultures,3,4000,True,,,
BUAD 1060,Business Applications: Basic Business Analytic Tools,3,1000,True,,biz_elective,
BUAD 1931,Topics In Business Administration,3,1000,True,,biz_elective,
BUAD 1986,Applied Business Learning Experience-Work Period,0,1000,True,S/U grade assessment.,biz_elective,
BUAD 1987,Applied Business Learning Experience-Work Period,0,1000,True,S/U grade assessment.,biz_elective,
BUAD 2100,Accounting and Finance Fundamentals for Non-Business Majors,3,2000,True,,biz_elective,
BUAD 2160,Foundations of Personal Finance: College Years and Beyond,3,2000,True,Marquette Core Curriculum: SSC Individuals & Communities,biz_elective,
BUAD 2986,Applied Business Learning Experience-Grading Period,0,2000,True,S/U grade assessment.,biz_elective,
BUAD 2987,Applied Business Learning Experience-Grading Period,0,2000,True,S/U grade assessment.,biz_elective,
BUAD 2989,Applied Business Learning Experience - Work and Grading Period,0,2000,True,S/U grade assessment.,biz_elective,
BUAD 3089,Business and the Non-Profit Sector,0,3000,True,S/U grade assessment.,biz_elective,
BUAD 3399,Applied Business Communication,3,3000,True,,biz_elective,
BUAD 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
BUAD 3987,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
BUAD 3988,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
BUAD 4010,Business in Film,3,4000,True,Marquette Core Curriculum: Writing Intensive,biz_elective,
BUAD 4931,Topics in Business Administration,3,4000,True,,biz_elective,
BUAD 4986,Business Administration Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
BUAD 4987,Business Administration Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
BUAD 4988,Internship-Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
BUAD 4989,Internship - Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
BUAD 4990,Internship - Work and Grading Period for International Students,3,4000,True,,biz_elective,
BUAD 4991,Internship - Work Period for International Students,0,4000,True,S/U grade assessment.,biz_elective,
BUAD 4992,Internship - Grading Period for International Students,3,4000,True,,biz_elective,
BUAD 4995,Independent Study in Business Administration,3,4000,True,,biz_elective,
BULA 4931,Topics in Business Law,3,4000,True,,biz_elective,
BULA 4995,Independent Study in Business Law,3,4000,True,,biz_elective,
ECON 1103H,Honors Principles of Microeconomics,3,1000,True,,biz_elective,
ECON 1104H,Honors Principles of Macroeconomics,3,1000,True,,biz_elective,
ECON 1930,Special Topics in Economics,3,1000,True,,biz_elective,
ECON 3399,The College Fed Challenge,3,3000,True,,biz_elective,
ECON 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
ECON 4005,Sports Economics,3,4000,True,,biz_elective,
ECON 4006,Industrial Organization,3,4000,True,,biz_elective,
ECON 4008,Economics and Law,3,4000,True,,biz_elective,
ECON 4010,Public Finance,3,4000,True,Marquette Core Curriculum: SSC Individuals & Communities,biz_elective,
ECON 4016,Environmental and Natural Resource Economics,3,4000,True,Marquette Core Curriculum: SSC Expanding Our Horizons,biz_elective,
ECON 4020,Economics of Labor Markets,3,4000,True,Marquette Core Curriculum: SSC Individuals & Communities,biz_elective,
ECON 4022,Economics of Healthcare and Health Policy,3,4000,True,Marquette Core Curriculum: SSC Basic Needs & Justice,biz_elective,
ECON 4025,Economics of Regulation and Deregulation,3,4000,True,,biz_elective,
ECON 4030,American Economic History,3,4000,True,,biz_elective,
ECON 4065,Mathematical Economics,3,4000,True,,biz_elective,
ECON 4072,Behavioral Economics,3,4000,True,Marquette Core Curriculum: SSC Expanding Our Horizons,biz_elective,
ECON 4931,Topics in Economics,3,4000,True,,biz_elective,
ECON 4986,Economics Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ECON 4989,Economics Internship - Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ECON 4995,Independent Study in Economics,3,4000,True,,biz_elective,
ENTP 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
ENTP 3990,Entrepreneurship Internship for Minors - Work Period,0,3000,True,S/U grade assessment.; Not available to students enrolled in the College of Business Administration.,biz_elective,
ENTP 4020,Consulting to Urban Entrepreneurs,3,4000,True,,biz_elective,
ENTP 4931,Topics in Entrepreneurship,3,4000,True,,biz_elective,
ENTP 4986,Entrepreneurship Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ENTP 4989,Entrepreneurship Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
ENTP 4990,Entrepreneurship Internship for Minors - Grading Period,0,4000,True,S/U grade assessment.; Not available to students enrolled in the College of Business Administration.,biz_elective,
ENTP 4991,Entrepreneurship Internship for Minors - Work and Grading Period,0,4000,True,S/U grade assessment.; Not available to students enrolled in the College of Business Administration.,biz_elective,
ENTP 4995,Independent Study in Entrepreneurship,3,4000,True,,biz_elective,
INBU 2953,Seminar for International Exchange Students,0,2000,True,S/U grade assessment.,biz_elective,
INBU 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
INBU 4141,International Business Strategy,3,4000,True,,biz_elective,
INBU 4995,Independent Study in International Business,3,4000,True,,biz_elective,
MANA 3020,Sport Management,3,3000,True,,biz_elective,
MANA 4100,Ethics in Sport Leadership,3,4000,True,,biz_elective,
MANA 4931,Topics in Organizational Management,3,4000,True,,biz_elective,
MANA 4995,Independent Study in Management,3,4000,True,,biz_elective,
MARK 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
MARK 4986,Marketing Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
MARK 4989,Marketing Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
MARK 4995,Independent Study in Marketing,3,4000,True,,biz_elective,
REAL 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
REAL 4995,Independent Study in Real Estate,3,4000,True,,biz_elective,
COMM 1700,Communication Statistics and Analysis,3,1000,True,Marquette Core Curriculum: NSM Crossing Boundaries; Marquette Core Curriculum: NSM Individuals & Communities,,
