course_code,hard_prereq,concurrent_with,min_standing
BUAD 1986,none,,0.0
BUAD 1987,none,,2.0
BUAD 2001,BUAD 1001,BUAD 1560,0.0
BUAD 2100,none,,0.0
BUAD 2160,none,,0.0
BUAD 2986,BUAD 1986,,0.0
BUAD 2987,BUAD 1987,,2.0
BUAD 2989,none,,0.0
BUAD 3089,none,,3.0
BUAD 3399,none,,3.0
BUAD 3986,none,,2.0
BUAD 3987,none,,0.0
BUAD 3988,none,,3.0
BUAD 4010,none,,0.0
BUAD 4931,none,,3.0
BUAD 4986,BUAD 3986,,0.0
BUAD 4987,none,,3.0
BUAD 4988,BUAD 3988,,0.0
BUAD 4989,none,,2.0
BUAD 4990,none,,2.0
BUAD 4991,none,,2.0
BUAD 4992,BUAD 4991,,2.0
BUAD 4995,none,,0.0
BUAD 5931,none,,0.0
BUAD 6000,none,,0.0
BUAD 6005,none,,0.0
BUAD 6112,none,,0.0
BUAD 6113,none,,0.0
BUAD 6118,none,,0.0
BUAD 6931,none,,0.0
BUAD 6933,none,,0.0
BUAD 6986,none,,0.0
BUAD 6987,none,,0.0
BUAD 6988,BUAD 6987,,0.0
BUAD 6995,none,,0.0
BUAD 9970,none,,0.0
BUAD 9976,none,,0.0
BUAN 3065,BUAD 1560,,0.0
BUAN 3066,BUAN 3065,,0.0
BUAN 3986,BUAN 3065,,0.0
BUAN 4060,BUAN 3065;BUAN 3066,,0.0
BUAN 4061,BUAN 3065;BUAN 3066,,0.0
BUAN 4931,BUAD 1560,,2.0
BUAN 4986,BUAN 3986,,0.0
BUAN 4989,BUAN 3065,,0.0
BULA 3001,none,,3.0
BULA 4001,none,,3.0
BULA 4931,BULA 3001,,0.0
BULA 4995,none,,0.0
BULA 6110,ACCO 6100,,0.0
CCOM 2000,none,,0.0
CCOM 3250,CCOM 2000;ADPR 2200,,0.0
CCOM 4700,CCOM 2000;CMST 3200,,0.0
CCOM 4750,CCOM 2000;CCOM 3250;CMST 3200;PURE 1800;PURE 3600;PURE 3800,,0.0
CCOM 4931,CCOM 2000,,0.0
CCOM 4986,CCOM 2000,,0.0
CCOM 4995,CCOM 2000;CCOM 3250,,0.0
CCOM 5700,CMST 6200,,0.0
CCOM 5750,CMST 6200,,0.0
CCOM 6300,none,,0.0
CCOM 6700,none,,0.0
CCOM 6750,none,,0.0
CECP 6995,none,,0.0
