course_code,Spring 2025,Summer 2025,Fall 2025
ARBC 3220,True,False,True
ARBC 3800,False,False,True
ARSC 4953,True,False,True
BIOL 4987,True,False,True
BISC 3929,True,False,False
BISC 4460,False,False,True
CCOM 4986,True,True,True
CHNS 3215,False,False,True
CHNS 3700,False,False,True
CMST 3120,True,False,True
CMST 4986,True,True,True
CNEN 3860,False,False,True
COMM 4986,True,True,True
CRLS 2540,True,False,False
CRLS 3150,True,False,True
CRLS 3170,True,False,True
CRLS 3986,True,False,True
CRLS 4986,True,False,False
DGMD 3986,True,True,True
EDUC 4965,True,False,True
EDUC 4966,True,False,True
EDUC 4969,False,False,False
EDUC 4970,False,False,False
EDUC 4986,True,False,True
EDUC 4987,True,False,True
ENGL 2001,True,True,False
ENGL 3140,True,False,True
ENGL 3223,False,False,False
ENGL 3224,True,False,True
ENGL 3249,True,False,True
ENGL 3250,True,False,True
ENGL 3261,True,False,True
ENGL 3453,False,False,True
ENGL 3515,False,False,True
ENGL 3780,True,False,True
ENGL 3820,False,False,True
ENGL 4221,False,False,True
ENGL 4230,True,False,False
ENGL 4631,True,False,False
ENGL 4739,False,False,True
ENGL 4825,True,False,True
ENGL 4826,True,False,False
ENGL 4988,True,False,True
EXPH 4986,True,True,True
FREN 3000,False,False,False
GEEN 2960,False,False,True
GEEN 4850,False,False,False
GRMN 3540,True,False,True
GRMN 3550,True,False,False
GRMN 3552,False,False,False
HESC 3929,True,False,False
HIST 4120,True,True,False
HIST 4125,True,False,True
HIST 4135,True,False,False
HIST 4140,True,False,True
HIST 4155,True,False,True
HIST 4747,True,False,True
INES 4987,True,False,True
INGS 4997,True,False,False
INPS 3250,False,False,False
INPS 4997,True,False,False
JOUR 3986,False,True,True
JOUR 4986,True,True,True
LLAC 1010,True,False,False
LLAC 3220,False,False,False
LLAC 3250,False,False,True
MARQ 3929,True,True,True
MARQ 3961,True,False,False
MLSC 4180,True,False,True
NURS 3956H,True,False,False
NURS 3965,True,True,True
PHIL 3502,True,False,True
PHIL 3507,False,False,True
PHTH 4512,False,False,True
POSC 4986,True,True,True
PSYC 3201,True,True,True
PSYC 4420,True,False,True
PURE 3986,True,True,True
SOCI 3700,False,False,True
SOCI 3986,True,False,True
SOCI 4986,True,False,False
SOWJ 3170,True,False,True
SOWJ 3400,True,False,True
SOWJ 3986,True,False,True
SOWJ 4700,True,False,False
SOWJ 4986,True,False,False
SPAN 4150,False,False,True
THAR 3620,False,False,True
THAR 4986,True,True,True
THEO 2500,False,False,True
THEO 3250,True,False,True
THEO 3350,True,False,False
THEO 3355,True,False,False
THEO 3600,True,False,True
THEO 4270,True,False,True
THEO 4400,True,False,True
THEO 4520,True,False,True
ADPR 2200,True,True,True
ANTH 2101,False,False,True
ARBC 3210,True,False,True
BIOL 4102,True,False,False
BIOL 4202,True,False,False
BIOL 4302,False,False,True
BIOL 4402,True,False,True
BIOL 4403,True,False,False
BIOL 4502,True,False,False
BIOL 4702,False,False,True
BIOL 4802,False,False,True
BISC 4325,True,False,False
CCOM 3250,True,False,True
CMST 3000,True,False,True
CMST 4997,True,False,False
CRLS 3050,True,True,True
EDUC 4000,True,True,True
EDUC 4540,True,True,True
ELEN 3025,True,False,False
ENGL 2011,True,True,True
ENGL 2012,True,False,True
ENGL 3000,True,False,True
ENGL 3210,True,False,True
ENGL 3211,True,False,False
ENGL 3220,True,True,False
ENGL 3221,True,False,True
ENGL 3222,False,True,True
ENGL 3240,True,True,True
ENGL 3241,True,True,True
ENGL 3242,True,False,False
ENGL 3301,False,False,True
ENGL 3302,True,False,False
ENGL 3410,True,False,True
ENGL 3462,True,False,True
ENGL 3513,True,False,True
ENGL 3514,False,False,True
ENGL 3517,True,False,False
ENGL 3730,False,False,False
ENGL 3734,True,True,True
ENGL 3738,False,False,True
ENGL 3751,False,True,True
ENGL 3756,False,False,False
ENGL 3761,True,False,True
ENGL 3762,True,False,True
ENGL 3766,False,False,False
ENGL 3785,True,False,True
